CPU Name,CPU Mark
AMD Ryzen Threadripper PRO 7995WX,154293
AMD Ryzen Threadripper PRO 7985WX,137139
AMD Ryzen Threadripper 7980X,133905
AMD EPYC 9654,126045
AMD EPYC 9654P,113949
AMD EPYC 9554P,109858
AMD EPYC 9474F,104894
AMD Ryzen Threadripper 7970X,99047
AMD Ryzen Threadripper PRO 7975WX,97036
AMD EPYC 9454P,96088
Intel Xeon w9-3495X,94981
AMD Ryzen Threadripper PRO 5995WX,92914
AMD EPYC 7773X,91491
Intel Xeon Platinum 8470 @2.00GHz,89850
AMD EPYC 9534,88716
AMD EPYC 7763,86223
AMD EPYC 7J13,85683
AMD Ryzen Threadripper PRO 7965WX,84340
AMD EPYC 7713,83566
AMD Ryzen Threadripper PRO 3995WX,83562
AMD EPYC 7V13,82878
AMD Ryzen Threadripper 7960X,82368
AMD EPYC 7T83,81757
AMD EPYC 9754,81404
AMD EPYC 7663,81228
AMD Ryzen Threadripper 3990X,80903
AMD EPYC 7713P,80373
AMD EPYC 9354P,78796
AMD EPYC 7B13,77460
AMD EPYC 7643,76455
AMD Ryzen Threadripper PRO 5975WX,75784
Intel Xeon Platinum 8461V,74982
AMD EPYC 9274F,73463
AMD EPYC 7662,73321
AMD EPYC 7573X,70868
AMD EPYC 9254,70630
AMD EPYC 7702,69872
AMD EPYC 7H12,69633
AMD EPYC 7742,69183
AMD EPYC 75F3,68505
Intel Xeon w7-3465X,67367
AMD EPYC 7543P,66624
AMD Ryzen Threadripper PRO 5965WX,66582
Intel Xeon w9-3475X,66420
AMD EPYC 7B12,65658
AMD EPYC 9334,65279
AMD EPYC 7R32,64727
AMD EPYC 7702P,63633
AMD Ryzen Threadripper 3970X,63268
AMD Ryzen 9 7950X,63030
AMD EPYC 9224,62900
AMD Ryzen Threadripper PRO 3975WX,62893
AMD Ryzen 9 7950X3D,62585
Intel Xeon Platinum 8380 @ 2.30GHz,62318
Intel Core i9-14900F,62010
Intel Core i9-13900KS,61865
Intel Core i9-14900K,61115
AMD Ryzen Threadripper PRO 7955WX,61073
AMD EPYC 74F3,60666
Intel Xeon Gold 6448Y,60449
AMD EPYC 7543,60132
Intel Core i9-14900KF,60123
AMD EPYC 7513,59988
Intel Core i9-13900K,59429
AMD EPYC 7642,59390
AMD EPYC 7473X,59280
AMD Ryzen 9 7945HX3D,59124
Intel Xeon w7-2495X,59096
Intel Xeon W-3375 @ 2.50GHz,59069
Intel Xeon W-3365 @ 2.70GHz,59038
Intel Xeon Gold 6421N,58797
Intel Core i9-13900KF,58724
Intel Xeon Gold 5420+,57593
Intel Xeon Gold 6423N,57434
Intel Xeon Gold 6414U,57200
AMD EPYC 7443P,57111
AMD Ryzen 9 7940HX,56520
Intel Xeon Platinum 8375C @ 2.90GHz,55705
AMD EPYC 7443,55525
AMD EPYC 9174F,55485
AMD Ryzen 9 7945HX,55299
AMD Ryzen Threadripper 3960X,54895
Intel Core i9-14900,54856
Intel Xeon Platinum 8358 @ 2.60GHz,54416
Intel Xeon w7-2475X,54097
Intel Xeon Platinum 8360Y @ 2.40GHz,54078
Intel Core i7-14700K,53677
Intel Core i7-14700KF,53290
AMD EPYC 7532,53051
Intel Xeon Gold 5412U,53015
Intel Xeon Gold 6438N,52789
Intel Xeon Gold 6348 @ 2.60GHz,52276
Intel Core i9-13900F,52015
AMD Ryzen 9 7900X,51996
AMD EPYC 7552,51104
AMD Ryzen Threadripper PRO 7945WX,50835
AMD EPYC 7453,50575
AMD Ryzen 9 7900X3D,50546
AMD Ryzen Threadripper PRO 5955WX,50358
AMD EPYC 9184X,50344
AMD EPYC 7413,50223
AMD EPYC 7502P,50193
AMD EPYC 7F72,50050
Intel Core i7-14700,49575
Intel Xeon Platinum 8347C @ 2.10GHz,49386
AMD EPYC 7K62,49104
AMD EPYC 7R12,48934
AMD Ryzen 9 7900,48899
Apple M2 Ultra 24 Core,48773
Intel Xeon W-3345 @ 3.00GHz,48261
Intel Core i9-13900,48078
Intel Xeon Gold 6314U @ 2.30GHz,48013
AMD EPYC 7452,47951
AMD Ryzen 9 PRO 7945,47938
Intel Core i9-13980HX,47777
AMD EPYC 7402,47554
Intel Xeon Gold 6342 @ 2.80GHz,47320
Intel Xeon w5-3435X,46823
AMD EPYC 7542,46747
