Videocard Name,Passmark G3D Mark
GeForce RTX 4090,38814
GeForce RTX 4080,34626
GeForce RTX 4080 SUPER,33948
GeForce RTX 4070 Ti SUPER,31955
GeForce RTX 4070 Ti,31750
Radeon 610M Ryzen 9 7945HX3D,31600
Radeon RX 7900 XTX,30954
GeForce RTX 4070 SUPER,30515
Radeon PRO W7900,29897
GeForce RTX 3090 Ti,29805
RTX 6000 Ada Generation,29040
Radeon PRO W7800,29007
Radeon RX 7900 XT,28863
Radeon RX 6950 XT,28411
GeForce RTX 4090 Laptop GPU,28370
GeForce RTX 3080 Ti,27273
GeForce RTX 4070,27002
Radeon RX 6900 XT,26884
GeForce RTX 3090,26843
GeForce RTX 3080 12GB,26725
GeForce RTX 4080 Laptop GPU,26073
Radeon RX 7900 GRE,25512
GeForce RTX 3080,25331
Radeon RX 6800 XT,25106
RTX 5000 Ada Generation Laptop GPU,24547
RTX 4000 Ada Generation,24269
Radeon RX 7800 XT,24071
GeForce RTX 3070 Ti,23709
RTX 4000 Ada Generation Laptop GPU,23251
RTX A5000,23072
GeForce RTX 4060 Ti 16GB,23034
RTX A6000,22872
GeForce RTX 4060 Ti,22747
Radeon RX 7900M,22683
GeForce RTX 3070,22436
Radeon RX 6800,22356
RTX 4500 Ada Generation,22292
NVIDIA A10,22064
RTX A4500,21925
GeForce RTX 2080 Ti,21791
Radeon 610M Ryzen 9 7845HX,21622
RTX 5000 Ada Generation,21371
Radeon RX 7700 XT,21171
RTX A5500,20992
RTX 3500 Ada Generation Laptop GPU,20978
Radeon RX 6750 XT,20811
GeForce RTX 3060 Ti,20578
RTX 4000 SFF Ada Generation,20529
GeForce RTX 3080 Ti Laptop GPU,20172
Quadro GV100,20021
TITAN RTX,19985
Radeon RX 6700 XT,19886
Radeon PRO W6800,19823
TITAN V,19772
GeForce RTX 4060,19696
GeForce RTX 4070 Laptop GPU,19629
GeForce RTX 2080 SUPER,19607
Quadro RTX 8000,19378
RTX A4000,19373
TITAN Xp COLLECTORS EDITION,19209
Quadro RTX 6000,18932
GeForce RTX 2080,18813
NVIDIA TITAN Xp,18706
Radeon RX 6700,18656
GeForce GTX 1080 Ti,18550
NVIDIA A10G,18487
Radeon RX 6850M XT,18329
GeForce RTX 2070 SUPER,18249
GeForce RTX 3070 Ti Laptop GPU,18192
GeForce RTX 4060 Laptop GPU,17931
RTX A4500 Laptop GPU,17520
RTX A5500 Laptop GPU,17434
Radeon RX 6650 XT,17331
Radeon PRO W7600,17126
GeForce RTX 3060 12GB,17107
TITAN V CEO Edition,16987
RTX 3000 Ada Generation Laptop GPU,16877
Radeon RX 6750 GRE 12GB,16718
Radeon RX 5700 XT,16717
Radeon VII,16695
Radeon RX 5700 XT 50th Anniversary,16615
GeForce RTX 2060 SUPER,16588
GeForce RTX 3080 Laptop GPU,16540
Radeon RX 6600 XT,16457
Radeon RX 7600 XT,16455
Quadro GP100,16374
Radeon RX 7600,16226
GeForce RTX 2070,16184
Quadro RTX 5000,16046
Radeon PRO W6600,15993
RTX A5000 Laptop GPU,15905
GeForce RTX 2060 12GB,15873
RTX 2000 Ada Generation Laptop GPU,15629
Radeon RX 6800S,15556
GeForce RTX 3060 8GB,15540
GeForce RTX 3070 Laptop GPU,15529
GeForce GTX 1080,15523
Radeon Pro Vega II,15474
Quadro RTX 4000,15434
RTX A4000 Laptop GPU,15373
Radeon Pro VII,15332
Radeon Pro W5700,15326
Radeon RX 6600,15134
Radeon RX 7700S,15119
GeForce RTX 2080 (Mobile),15107
Quadro P6000,14965
Radeon RX 6700S,14919
Radeon RX 6600S,14896
Quadro RTX 5000 (Mobile),14832
GeForce GTX 1070 Ti,14702
GeForce RTX 4050 Laptop GPU,14680
RTX A3000 12GB Laptop GPU,14652
Radeon RX 5700,14542
Radeon RX Vega 64,14422
Radeon RX 7600S,14184
GeForce RTX 2060,14149
GeForce RTX 2070 Super with Max-Q Design,13967
Radeon Pro WX 8200,13931
RadeonT RX 6850M XT,13847
GeForce GTX 980 Ti,13823
GeForce RTX 2080 Super with Max-Q Design,13806
RTX A2000,13773
