20121229,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,HD 6570$55,G530 $49,ASRock H61M-DGS$45,4GB$18,$302
,Entry,HD 7750$100,G630 $65,ASRock B75 PRO3-M$70,4GB$18,$419
,Fair,GTX 650 Ti$140,955 $95,ASRock 970 EXTREME3$70,4GB$18,$518
,Good,GTX 650 Ti$140,955 $95,GIGABYTE GA-970A-UD3$105,4GB$18,$553
,Very good,HD 7850$175,i3 3220 $130,ASRock Z77 Extreme3$110,4GB$18,$628
,Great,GTX 660$215,FX-6300 $140,ASUS M5A99X EVO$130,8GB$41,$806
,Excellent,GTX 660 Ti$250,i5 3570K $215,MSI Z77A-GD65$170,8GB$41,$1021
,Exceptional,GTX 670$320,i5 3570K $215,GIGABYTE GA-Z77X-UD5H$190,8GB$41,$1376
,Enthusiast,GTX 660 Ti x2$560,i5 3570K $215,GIGABYTE GA-Z77X-UD5H$190,8GB$41,$1666
,Extremist,GTX 670 x2$640,i5 3570K $215,GIGABYTE G1.Sniper 3$270,16GB$80,$2105
,,,,,,
20130424,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,HD 6570$50,G1610 $43,ASRock B75M-DGS$50,4GB$43,$327
,Entry,HD 7750$100,G2020$65,ASRock B75M-DGS$50,4GB$43,$408
,Fair,GTX 650 Ti$130,965$85,ASRock 970 EXTREME3$75,4GB$43,$530
,Good,650 Ti Boost 1GB$150,965$85,GIGABYTE GA-970A-UD3$99,4GB$43,$574
,Very good,650 Ti Boost 2GB$170,i3 3220$110,ASRock Z77 Extreme3$103,4GB$43,$623
,Great,GTX 660$210,FX 6300$129,GIGABYTE GA-990FXA-UD3$133,8GB$51,$796
,Excellent,GTX 660 Ti$290,i5 4670$230,ASRock Z87 Extreme4$160,8GB$51,$1106
,Exceptional,GTX 770$410,i5 4670K$250,GIGABYTE Z87X-UD3H$180,8GB$51,$1518
,Enthusiast,GTX 660 Ti x2$580,i5 4670K$250,ASUS Z87-PRO$210,8GB$51,$1736
,Extremist,GTX 770 x2$820,i5 4670K$250,ASUS Z87-DELUXE$280,16GB$100,$2380
,,,,,,
20130618,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,HD 6570$50,G1610 $43,ASRock B75M-DGS$50,4GB$43,$322
,Entry,HD 7750$95,G2020$62,ASRock B75M-DGS$50,4GB$43,$386
,Fair,GTX 650 Ti$130,965$95,ASRock 970 EXTREME3$85,4GB$43,$552
,Good,650 Ti Boost 1GB$150,965$95,GIGABYTE GA-970A-UD3$110,4GB$43,$587
,Very good,650 Ti Boost 2GB$170,i3 2120$122,MSI Z77A-G45$113,4GB$43,$647
,Great,GTX 660$210,FX 6300$120,GIGABYTE GA-990FXA-UD3$138,8GB$62,$811
,Excellent,GTX 660 Ti$290,i5 4670$230,ASRock Z87 Extreme4$160,8GB$62,$1124
,Exceptional,GTX 770$400,i5 4670K$240,GIGABYTE Z87X-UD3H$170,8GB$62,$1482
,Enthusiast,GTX 660 Ti x2$580,i5 4670K$240,ASUS Z87-PRO$210,8GB$62,$1737
,Extremist,GTX 770 x2$800,i5 4670K$240,ASUS Z87-DELUXE$290,16GB$108,$2358
,,,,,,
20130906,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,HD 6570$50,G1610 $43,ASRock B75M-DGS$50,4GB$43,$322
,Entry,HD 7750$95,G2020$62,ASRock B75M-DGS$50,4GB$43,$386
,Fair,GTX 650 Ti$130,965$95,ASRock 970 EXTREME3$85,4GB$43,$552
,Good,650 Ti Boost 1GB$150,965$95,GIGABYTE GA-970A-UD3$110,4GB$43,$587
,Very good,650 Ti Boost 2GB$170,i3 2120$122,MSI Z77A-G45$113,4GB$43,$647
,Great,GTX 660$210,FX 6300$120,GIGABYTE GA-990FXA-UD3$138,8GB$62,$811
,Excellent,GTX 660 Ti$290,i5 4670$230,ASRock Z87 Extreme4$160,8GB$62,$1124
,Exceptional,GTX 770$400,i5 4670K$240,GIGABYTE Z87X-UD3H$170,8GB$62,$1482
,Enthusiast,GTX 660 Ti x2$580,i5 4670K$240,ASUS Z87-PRO$210,8GB$62,$1737
,Extremist,GTX 770 x2$800,i5 4670K$240,ASUS Z87-DELUXE$290,16GB$108,$2358
,,,,,,
20131209,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,HD 6570$62,G1620$43,ASRock B75M-DGS$55,4GB$43,$351
,Entry,R7 250$80,G2020$62,ASRock B75M-DGS$55,4GB$43,$399
,Fair,GTX 650 Ti$125,X4 760K$90,MSI FM2-A85XA-G43$80,4GB$43,$521
,Good,HD 7850 1GB$170,X4 760K$90,MSI FM2-A85XA-G43$80,4GB$43,$566
,Very good,HD 7850 1GB$170,i3 4330$125,ASRock Z87 PRO3$95,4GB$43,$626
,Great,GTX 660$190,FX 6300$127,ASUS M5A97 R2.0$102,8GB$70,$687
,Excellent,GTX 760$250,i5 4670$215,ASRock Z87 Extreme4$144,8GB$70,$1025
,Exceptional,GTX 760 x2$500,i5 4670K$220,MSI Z87-GD65 Gaming$188,8GB$70,$1528
,Enthusiast,GTX 770 x2$640,i5 4670K$220,GIGABYTE Z87X-UD5H$190,8GB$70,$1705
,Extremist,GTX 780 x2$1020,i5 4670K$225,ASUS Z87-DELUXE$270,16GB$145,$2494
,,,,,,
20140421,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,HD 6570$62,G1620$43,ASRock B75M-DGS$55,4GB$43,$351
,Entry,R7 250$80,G2020$62,ASRock B75M-DGS$55,4GB$43,$399
,Fair,GTX 650 Ti$125,X4 760K$90,MSI FM2-A85XA-G43$80,4GB$43,$521
,Good,HD 7850 1GB$170,X4 760K$90,MSI FM2-A85XA-G43$80,4GB$43,$566
,Very good,HD 7850 1GB$170,i3 4330$125,ASRock Z87 PRO3$95,4GB$43,$626
,Great,GTX 660$190,FX 6300$127,ASUS M5A97 R2.0$102,8GB$70,$687
,Excellent,GTX 760$250,i5 4670$215,ASRock Z87 Extreme4$144,8GB$70,$1025
,Exceptional,GTX 760 x2$500,i5 4670K$220,MSI Z87-GD65 Gaming$188,8GB$70,$1528
,Enthusiast,GTX 770 x2$640,i5 4670K$220,GIGABYTE Z87X-UD5H$190,8GB$70,$1705
,Extremist,GTX 780 x2$1020,i5 4670K$225,ASUS Z87-DELUXE$270,16GB$145,$2494
,,,,,,
20140625,Tier,Graphics,CPU,Motherboard,RAM,Total
,Minimum,HD 6570$62,G1620$43,ASRock B75M-DGS$55,4GB$43,$351
,Entry,R7 250$80,G2020$62,ASRock B75M-DGS$55,4GB$43,$399
,Fair,GTX 650 Ti$125,X4 760K$90,MSI FM2-A85XA-G43$80,4GB$43,$521
,Good,HD 7850 1GB$170,X4 760K$90,MSI FM2-A85XA-G43$80,4GB$43,$566
,Very good,HD 7850 1GB$170,i3 4330$125,ASRock Z87 PRO3$95,4GB$43,$626
,Great,GTX 660$190,FX 6300$127,ASUS M5A97 R2.0$102,8GB$70,$687
,Excellent,GTX 760$250,i5 4670$215,ASRock Z87 Extreme4$144,8GB$70,$1025
,Exceptional,GTX 760 x2$500,i5 4670K$220,MSI Z87-GD65 Gaming$188,8GB$70,$1528
,Enthusiast,GTX 770 x2$640,i5 4670K$220,GIGABYTE Z87X-UD5H$190,8GB$70,$1705
,Extremist,GTX 780 x2$1020,i5 4670K$225,ASUS Z87-DELUXE$270,16GB$145,$2494
,,,,,,
20141001,Tier,Graphics,CPU,Motherboard,RAM,Total
